iterasi,a,c,b,F(a),F(c),F(b),error
0,0.000000,4.363636,3.000000,-48.000000,49.767092,-15.000000,49.767092
1,0.000000,2.142383,4.363636,-48.000000,-35.719460,49.767092,35.719460
2,2.142383,3.070505,4.363636,-35.719460,-12.693774,49.767092,12.693774
3,3.070505,3.333305,4.363636,-12.693774,-3.186284,49.767092,3.186284
4,3.333305,3.395302,4.363636,-3.186284,-0.725939,49.767092,0.725939
5,3.395302,3.409223,4.363636,-0.725939,-0.161680,49.767092,0.161680
6,3.409223,3.412314,4.363636,-0.161680,-0.035826,49.767092,0.035826
7,3.412314,3.412998,4.363636,-0.035826,-0.007930,49.767092,0.007930
8,3.412998,3.413150,4.363636,-0.007930,-0.001755,49.767092,0.001755
9,3.413150,3.413183,4.363636,-0.001755,-0.000388,49.767092,0.000388
10,3.413183,3.413191,4.363636,-0.000388,-0.000086,49.767092,0.000086
